"position","project_id","accent","sort_order","id","created_date","updated_date","created_by_id","is_sample"
"3","6a93ab93ea238a622aaf7a02","amber","2","6a93ab93094866a676db72ab","2026-08-30T04:03:31.209000","2026-08-30T05:38:44.637000","6a93241fd853d49e33811285","false"
"2","6a93ab93ea238a622aaf7a01","cyan","1","6a93ab93094866a676db72aa","2026-08-30T04:03:31.209000","2026-08-30T05:38:44.491000","6a93241fd853d49e33811285","false"
"1","6a93ab93ea238a622aaf7a00","violet","0","6a93ab93094866a676db72a9","2026-08-30T04:03:31.209000","2026-08-30T05:38:44.347000","6a93241fd853d49e33811285","false"
