"template","is_system","system_route","title","nav_label","seo_title","social_image","world","nav_visible","nav_order","seo_description","admin_label","layout_settings","sort_order","slug","status","id","created_date","updated_date","created_by_id","is_sample"
"system","true","/","Home","Home","","","professional","true","0","","Home","","0","home","published","6a98ae991cebfbb6108ca72a","2026-09-02T23:17:45.070000","2026-09-02T23:17:45.070000","6a93241fd853d49e33811285","false"
"system","true","/about","About","About","","","professional","true","1","","About","","1","about","published","6a98ae991cebfbb6108ca72b","2026-09-02T23:17:45.070000","2026-09-02T23:17:45.070000","6a93241fd853d49e33811285","false"
"system","true","/work","Selected Work","Work","","","professional","true","2","","Work","","2","work","published","6a98ae991cebfbb6108ca72c","2026-09-02T23:17:45.070000","2026-09-02T23:17:45.070000","6a93241fd853d49e33811285","false"
"system","true","/expertise","Expertise","Expertise","","","professional","true","3","","Expertise","","3","expertise","published","6a98ae991cebfbb6108ca72d","2026-09-02T23:17:45.070000","2026-09-02T23:17:45.070000","6a93241fd853d49e33811285","false"
"system","true","/resume","Résumé","Résumé","","","professional","true","4","","Résumé","","4","resume","published","6a98ae991cebfbb6108ca72e","2026-09-02T23:17:45.070000","2026-09-02T23:17:45.070000","6a93241fd853d49e33811285","false"
"system","true","/contact","Contact","Contact","","","professional","true","5","","Contact","","5","contact","published","6a98ae991cebfbb6108ca72f","2026-09-02T23:17:45.070000","2026-09-02T23:17:45.070000","6a93241fd853d49e33811285","false"
